generated_index,metric,rank,real_slice_index,score
27,PSNR,2,20393,24.1579
27,PSNR,3,20391,23.6332
27,SSIM,1,20392,0.6412
27,SSIM,2,14629,0.6004
27,SSIM,3,20386,0.5998
28,PSNR,1,18491,27.1843
28,PSNR,2,18483,26.8237
28,PSNR,3,18485,26.5231
28,SSIM,1,18301,0.7813
28,SSIM,2,18295,0.7811
28,SSIM,3,18505,0.7804
29,PSNR,1,5139,25.9606
29,PSNR,2,5145,25.6493
29,PSNR,3,5127,25.4827
29,SSIM,1,5129,0.7314
29,SSIM,2,5141,0.7308
29,SSIM,3,5147,0.7294
30,PSNR,1,21015,22.6077
30,PSNR,2,21019,22.4410
30,PSNR,3,21021,22.4280
30,SSIM,1,14497,0.6256
30,SSIM,2,14491,0.6256
30,SSIM,3,14503,0.6243
31,PSNR,1,2575,23.3392
31,PSNR,2,2581,23.0524
31,PSNR,3,10693,22.7160
31,SSIM,1,2575,0.7510
31,SSIM,2,2581,0.7447
31,SSIM,3,2569,0.7377
32,PSNR,1,1172,24.0211
32,PSNR,2,1318,23.9693
32,PSNR,3,1316,23.9688
32,SSIM,1,1159,0.7887
32,SSIM,2,1153,0.7887
32,SSIM,3,1165,0.7842
33,PSNR,1,18035,24.1667
33,PSNR,2,18029,24.1171
33,PSNR,3,18053,23.9381
33,SSIM,1,18073,0.6676
33,SSIM,2,18067,0.6667
33,SSIM,3,18079,0.6665
34,PSNR,1,2699,23.1517
34,PSNR,2,2705,22.9995
34,PSNR,3,2693,22.8560
34,SSIM,1,2701,0.6207
34,SSIM,2,2695,0.6206
34,SSIM,3,2689,0.6180
35,PSNR,1,14597,24.5867
35,PSNR,2,14638,24.4360
35,PSNR,3,14633,24.2875
35,SSIM,1,14623,0.6805
35,SSIM,2,14617,0.6786
35,SSIM,3,14629,0.6716
36,PSNR,1,7741,24.7498
36,PSNR,2,7765,24.5577
36,PSNR,3,7735,24.3219
36,SSIM,1,7768,0.8066
36,SSIM,2,7762,0.8007
36,SSIM,3,7756,0.7975
37,PSNR,1,13065,24.6894
37,PSNR,2,13064,24.6057
37,PSNR,3,13066,24.5658
37,SSIM,1,13066,0.7390
37,SSIM,2,13072,0.7248
37,SSIM,3,13078,0.7193
38,PSNR,1,7789,24.6109
38,PSNR,2,7783,24.2798
38,PSNR,3,7795,23.6320
38,SSIM,1,7798,0.7769
38,SSIM,2,7792,0.7769
38,SSIM,3,7804,0.7670
39,PSNR,1,2191,21.8907
39,PSNR,2,2185,21.8768
39,PSNR,3,2197,21.8250
39,SSIM,1,2197,0.6662
39,SSIM,2,2203,0.6514
39,SSIM,3,2179,0.6500
40,PSNR,1,6253,21.4960
40,PSNR,2,6259,21.4038
40,PSNR,3,6260,21.3806
40,SSIM,1,18286,0.6164
40,SSIM,2,18280,0.6067
40,SSIM,3,18268,0.6005
41,PSNR,1,6805,24.9852
41,PSNR,2,6802,24.7479
41,PSNR,3,6808,24.7317
41,SSIM,1,6802,0.7468
41,SSIM,2,6796,0.7377
41,SSIM,3,6808,0.7341
42,PSNR,1,1084,23.4056
42,PSNR,2,1078,23.3414
42,PSNR,3,1076,23.2959
42,SSIM,1,1213,0.7588
42,SSIM,2,1357,0.7501
42,SSIM,3,1207,0.7466
43,PSNR,1,17536,21.8554
43,PSNR,2,17530,21.6045
43,PSNR,3,17528,21.3586
43,SSIM,1,17536,0.7117
43,SSIM,2,17530,0.7076
43,SSIM,3,17524,0.6840
44,PSNR,1,1298,21.3041
44,PSNR,2,18724,21.3021
44,PSNR,3,1299,21.0672
44,SSIM,1,1147,0.7448
44,SSIM,2,19936,0.7433
44,SSIM,3,1123,0.7431
45,PSNR,1,2965,25.2989
45,PSNR,2,2977,25.2381
45,PSNR,3,2983,24.7369
45,SSIM,1,2959,0.7781
45,SSIM,2,2965,0.7712
45,SSIM,3,2953,0.7658
46,PSNR,1,16831,21.9248
46,PSNR,2,16849,21.1836
46,PSNR,3,16830,20.5985
46,SSIM,1,16831,0.6289
46,SSIM,2,16849,0.6127
46,SSIM,3,16837,0.6024
47,PSNR,1,2692,23.8307
47,PSNR,2,2698,23.8131
47,PSNR,3,2699,23.7832
47,SSIM,1,2691,0.6729
47,SSIM,2,2685,0.6722
47,SSIM,3,2697,0.6679
48,PSNR,1,19487,25.9352
48,PSNR,2,19481,25.8251
48,PSNR,3,19678,25.7198
48,SSIM,1,18481,0.7426
48,SSIM,2,18487,0.7346
48,SSIM,3,18289,0.7304
49,PSNR,1,9760,25.3244
49,PSNR,2,9772,25.2172
49,PSNR,3,9766,25.1647
49,SSIM,1,9760,0.6941
49,SSIM,2,9772,0.6869
49,SSIM,3,9766,0.6860
50,PSNR,1,15649,23.6191
50,PSNR,2,20047,23.5962
50,PSNR,3,15652,23.5301
50,SSIM,1,15664,0.7096
50,SSIM,2,15652,0.7086
50,SSIM,3,15658,0.7075
51,PSNR,1,4313,23.1415
51,PSNR,2,4319,23.0912
51,PSNR,3,4325,23.0872
51,SSIM,1,4324,0.5864
51,SSIM,2,4318,0.5839
51,SSIM,3,4330,0.5789
52,PSNR,1,18922,21.9233
52,PSNR,2,18921,21.8123
52,PSNR,3,13209,21.7457
52,SSIM,1,18922,0.6523
52,SSIM,2,18928,0.6482
52,SSIM,3,18934,0.6393
53,PSNR,1,18929,24.9717
53,PSNR,2,18927,24.7972
53,PSNR,3,18923,24.7511
53,SSIM,1,18922,0.7155
53,SSIM,2,18928,0.7148
53,SSIM,3,18934,0.6998
54,PSNR,1,7861,22.2849
54,PSNR,2,7867,22.2665
54,PSNR,3,15931,22.1084
54,SSIM,1,7990,0.6443
54,SSIM,2,15931,0.6409
54,SSIM,3,15937,0.6405
55,PSNR,1,8845,22.8752
55,PSNR,2,8827,22.8292
55,PSNR,3,5486,22.8130
55,SSIM,1,18700,0.6698
55,SSIM,2,15682,0.6605
55,SSIM,3,4894,0.6576
56,PSNR,1,12013,23.6403
56,PSNR,2,12019,23.0284
56,PSNR,3,12007,22.8919
56,SSIM,1,12013,0.6734
56,SSIM,2,12019,0.6702
56,SSIM,3,18547,0.6632
57,PSNR,1,11736,22.2191
57,PSNR,2,11739,22.1030
57,PSNR,3,14317,22.1008
57,SSIM,1,14325,0.6781
57,SSIM,2,14331,0.6757
57,SSIM,3,14319,0.6614
58,PSNR,1,5829,23.9187
58,PSNR,2,5823,23.7717
58,PSNR,3,5831,23.6146
58,SSIM,1,18700,0.7163
58,SSIM,2,18706,0.6937
58,SSIM,3,1171,0.6917
59,PSNR,1,19889,25.2318
59,PSNR,2,19887,25.1193
59,PSNR,3,19888,24.8601
59,SSIM,1,19888,0.8235
59,SSIM,2,19906,0.8139
59,SSIM,3,19876,0.8079
60,PSNR,1,10673,20.7286
60,PSNR,2,10669,20.7002
60,PSNR,3,10663,20.5027
60,SSIM,1,13336,0.5918
60,SSIM,2,13330,0.5841
60,SSIM,3,10675,0.5836
61,PSNR,1,14669,23.4731
61,PSNR,2,14663,22.8401
61,PSNR,3,14681,22.8017
61,SSIM,1,14629,0.6197
61,SSIM,2,14623,0.6192
61,SSIM,3,14617,0.6153
62,PSNR,1,16986,19.2244
62,PSNR,2,16980,19.0897
62,PSNR,3,16998,19.0233
62,SSIM,1,16993,0.5941
62,SSIM,2,16987,0.5928
62,SSIM,3,16999,0.5877
63,PSNR,1,3068,22.0454
63,PSNR,2,3062,21.7872
63,PSNR,3,3085,21.7072
63,SSIM,1,14449,0.5806
63,SSIM,2,16693,0.5679
63,SSIM,3,16699,0.5666
64,PSNR,1,15785,21.4636
64,PSNR,2,10312,21.0115
64,PSNR,3,15780,20.8963
64,SSIM,1,15796,0.6405
64,SSIM,2,15790,0.6304
64,SSIM,3,15784,0.6290
65,PSNR,1,19685,24.3500
65,PSNR,2,19684,24.3317
65,PSNR,3,19089,24.2905
65,SSIM,1,18295,0.7053
65,SSIM,2,18505,0.7048
65,SSIM,3,18301,0.7024
66,PSNR,1,5128,24.7556
66,PSNR,2,5134,24.7007
66,PSNR,3,5127,24.6902
66,SSIM,1,5141,0.7160
66,SSIM,2,5129,0.7136
66,SSIM,3,5135,0.7127
67,PSNR,1,6893,22.2865
67,PSNR,2,6891,22.2244
67,PSNR,3,6905,21.7740
67,SSIM,1,6868,0.6563
67,SSIM,2,6862,0.6393
67,SSIM,3,6856,0.6391
68,PSNR,1,13417,25.0387
68,PSNR,2,13591,24.7807
68,PSNR,3,13597,24.7659
68,SSIM,1,13414,0.7160
68,SSIM,2,13588,0.7026
68,SSIM,3,13576,0.7019
69,PSNR,1,11935,23.6769
69,PSNR,2,11929,23.0766
69,PSNR,3,11923,23.0106
69,SSIM,1,15931,0.6985
69,SSIM,2,15949,0.6929
69,SSIM,3,15889,0.6924
70,PSNR,1,13061,24.8036
70,PSNR,2,13055,24.6695
70,PSNR,3,13058,24.6669
70,SSIM,1,13048,0.7372
70,SSIM,2,13066,0.7372
70,SSIM,3,13054,0.7344
71,PSNR,1,20836,20.5479
71,PSNR,2,20854,20.5387
71,PSNR,3,20830,20.5310
71,SSIM,1,6832,0.5642
71,SSIM,2,6826,0.5635
71,SSIM,3,18916,0.5619
72,PSNR,1,6214,21.4524
72,PSNR,2,16379,21.3273
72,PSNR,3,6213,21.2806
72,SSIM,1,6214,0.5954
72,SSIM,2,16389,0.5935
72,SSIM,3,14545,0.5921
73,PSNR,1,2489,24.2493
73,PSNR,2,2487,24.0810
73,PSNR,3,2483,24.0741
73,SSIM,1,2479,0.6785
73,SSIM,2,2485,0.6770
73,SSIM,3,2491,0.6676
74,PSNR,1,6848,21.4820
74,PSNR,2,6850,21.4640
74,PSNR,3,6873,21.4267
74,SSIM,1,6850,0.7068
74,SSIM,2,6856,0.6901
74,SSIM,3,6844,0.6881
75,PSNR,1,10085,22.8921
75,PSNR,2,10037,22.7829
75,PSNR,3,10091,22.5817
75,SSIM,1,7888,0.5936
75,SSIM,2,13330,0.5870
75,SSIM,3,12259,0.5869
76,PSNR,1,16810,20.8521
76,PSNR,2,16808,20.8185
76,PSNR,3,16774,20.6702
76,SSIM,1,16783,0.5884
76,SSIM,2,16777,0.5841
76,SSIM,3,16789,0.5651
77,PSNR,1,12749,23.1222
77,PSNR,2,12755,22.5281
77,PSNR,3,12743,22.5265
77,SSIM,1,3538,0.6452
77,SSIM,2,3532,0.6398
77,SSIM,3,3544,0.6260
78,PSNR,1,17050,22.9928
78,PSNR,2,17047,22.8847
78,PSNR,3,17041,22.6930
78,SSIM,1,17050,0.6808
78,SSIM,2,17044,0.6791
78,SSIM,3,17056,0.6578
79,PSNR,1,45,22.2050
79,PSNR,2,43,21.7387
79,PSNR,3,55,21.4028
79,SSIM,1,43,0.6688
79,SSIM,2,55,0.6609
79,SSIM,3,61,0.6474
80,PSNR,1,12745,21.0940
80,PSNR,2,9688,20.9426
80,PSNR,3,12751,20.9426
80,SSIM,1,12741,0.6068
80,SSIM,2,12735,0.5990
80,SSIM,3,12739,0.5951
81,PSNR,1,17292,22.5938
81,PSNR,2,17310,22.4419
81,PSNR,3,17304,22.4240
81,SSIM,1,14455,0.6206
81,SSIM,2,17311,0.6152
81,SSIM,3,17293,0.6112
82,PSNR,1,11218,20.2501
82,PSNR,2,11205,20.1382
82,PSNR,3,11211,20.0528
82,SSIM,1,13282,0.6021
82,SSIM,2,13324,0.5989
82,SSIM,3,13288,0.5962
83,PSNR,1,14309,20.5971
83,PSNR,2,2219,20.4975
83,PSNR,3,10311,20.4940
83,SSIM,1,10309,0.6590
83,SSIM,2,10303,0.6565
83,SSIM,3,10315,0.6421
84,PSNR,1,4350,22.4069
84,PSNR,2,4356,22.3473
84,PSNR,3,4333,22.1794
84,SSIM,1,4345,0.5947
84,SSIM,2,4339,0.5926
84,SSIM,3,4351,0.5868
85,PSNR,1,8693,23.5891
85,PSNR,2,8699,23.5068
85,PSNR,3,8688,23.1225
85,SSIM,1,11437,0.6764
85,SSIM,2,11431,0.6753
85,SSIM,3,11443,0.6746
86,PSNR,1,10924,22.1780
86,PSNR,2,10923,22.1554
86,PSNR,3,10929,21.9278
86,SSIM,1,10918,0.6653
86,SSIM,2,10912,0.6620
86,SSIM,3,10887,0.6602
87,PSNR,1,16762,21.7467
87,PSNR,2,16763,21.4290
87,PSNR,3,16756,21.3265
87,SSIM,1,16759,0.6165
87,SSIM,2,16777,0.6164
87,SSIM,3,16765,0.6158
88,PSNR,1,8305,25.4748
88,PSNR,2,8306,25.3554
88,PSNR,3,8312,25.0941
88,SSIM,1,8314,0.7209
88,SSIM,2,8320,0.7120
88,SSIM,3,8326,0.6924
89,PSNR,1,14316,23.0982
89,PSNR,2,14321,23.0583
89,PSNR,3,14317,23.0518
89,SSIM,1,14325,0.6583
89,SSIM,2,14317,0.6559
89,SSIM,3,14311,0.6500
90,PSNR,1,3229,18.8226
90,PSNR,2,8209,18.7620
90,PSNR,3,8197,18.7526
90,SSIM,1,3229,0.6500
90,SSIM,2,3223,0.6477
90,SSIM,3,3235,0.6462
91,PSNR,1,10196,22.0526
91,PSNR,2,10198,21.9791
91,PSNR,3,10197,21.6900
91,SSIM,1,10195,0.6557
91,SSIM,2,10189,0.6551
91,SSIM,3,20059,0.6443
92,PSNR,1,20549,23.8654
92,PSNR,2,20543,23.7728
92,PSNR,3,20555,23.5490
92,SSIM,1,20539,0.6895
92,SSIM,2,20545,0.6863
92,SSIM,3,20533,0.6775
93,PSNR,1,8137,23.6966
93,PSNR,2,8143,23.6689
93,PSNR,3,8177,23.3822
93,SSIM,1,8164,0.7179
93,SSIM,2,8176,0.7077
93,SSIM,3,8146,0.6710
94,PSNR,1,7887,25.2029
94,PSNR,2,7881,24.8199
94,PSNR,3,7886,24.6216
94,SSIM,1,7888,0.6886
94,SSIM,2,7882,0.6815
94,SSIM,3,7876,0.6778
95,PSNR,1,9484,22.3871
95,PSNR,2,9480,22.3065
95,PSNR,3,9482,22.2662
95,SSIM,1,9475,0.6404
95,SSIM,2,9481,0.6355
95,SSIM,3,13078,0.6348
96,PSNR,1,21295,21.7244
96,PSNR,2,21313,21.6116
96,PSNR,3,21115,21.4759
96,SSIM,1,14491,0.6175
96,SSIM,2,14485,0.6157
96,SSIM,3,21292,0.6156
97,PSNR,1,16293,21.8651
97,PSNR,2,16281,21.8094
97,PSNR,3,16283,21.7258
97,SSIM,1,16294,0.6092
97,SSIM,2,16288,0.6057
97,SSIM,3,16300,0.5780
98,PSNR,1,8845,22.4582
98,PSNR,2,8839,22.2509
98,PSNR,3,8933,22.0909
98,SSIM,1,18700,0.6629
98,SSIM,2,17530,0.6504
98,SSIM,3,17524,0.6470
99,PSNR,1,4996,19.9389
99,PSNR,2,17527,19.8632
99,PSNR,3,17533,19.8170
99,SSIM,1,17524,0.6553
99,SSIM,2,17548,0.6458
99,SSIM,3,3247,0.6442
