generated_index,metric,rank,real_slice_index,score
27,PSNR,2,7278,21.7711
27,PSNR,3,7271,21.5869
27,SSIM,1,6319,0.6465
27,SSIM,2,16039,0.6461
27,SSIM,3,16045,0.6447
28,PSNR,1,14983,19.4854
28,PSNR,2,14989,19.3638
28,PSNR,3,14977,19.3168
28,SSIM,1,20797,0.5796
28,SSIM,2,20803,0.5737
28,SSIM,3,20791,0.5632
29,PSNR,1,7321,23.0977
29,PSNR,2,7318,23.0903
29,PSNR,3,7327,23.0054
29,SSIM,1,12421,0.6157
29,SSIM,2,12415,0.6152
29,SSIM,3,12409,0.6027
30,PSNR,1,7826,26.9844
30,PSNR,2,7820,26.2572
30,PSNR,3,7827,26.1476
30,SSIM,1,7820,0.8190
30,SSIM,2,7826,0.8156
30,SSIM,3,7825,0.8106
31,PSNR,1,8389,26.6746
31,PSNR,2,8395,25.6175
31,PSNR,3,8383,25.5881
31,SSIM,1,8389,0.8102
31,SSIM,2,8383,0.7888
31,SSIM,3,3775,0.7810
32,PSNR,1,8526,25.4918
32,PSNR,2,8520,24.9817
32,PSNR,3,8531,24.6050
32,SSIM,1,8526,0.7645
32,SSIM,2,8520,0.7204
32,SSIM,3,8531,0.7085
33,PSNR,1,19687,23.3926
33,PSNR,2,19831,22.9146
33,PSNR,3,19825,22.9115
33,SSIM,1,19687,0.7149
33,SSIM,2,19681,0.7132
33,SSIM,3,19063,0.7069
34,PSNR,1,8748,21.8868
34,PSNR,2,8742,21.8431
34,PSNR,3,8750,21.7171
34,SSIM,1,8742,0.6448
34,SSIM,2,8748,0.6353
34,SSIM,3,8753,0.6152
35,PSNR,1,8131,22.3563
35,PSNR,2,8137,22.3319
35,PSNR,3,8095,22.1442
35,SSIM,1,18697,0.7077
35,SSIM,2,18703,0.7048
35,SSIM,3,18709,0.6991
36,PSNR,1,5806,22.2419
36,PSNR,2,5812,22.2323
36,PSNR,3,5818,22.1647
36,SSIM,1,18757,0.7384
36,SSIM,2,5775,0.7349
36,SSIM,3,5769,0.7344
37,PSNR,1,15935,22.3572
37,PSNR,2,15893,22.2513
37,PSNR,3,15875,22.2274
37,SSIM,1,7873,0.6970
37,SSIM,2,7879,0.6942
37,SSIM,3,7885,0.6929
38,PSNR,1,9474,25.8907
38,PSNR,2,9479,25.3998
38,PSNR,3,9468,24.6031
38,SSIM,1,9474,0.7700
38,SSIM,2,9468,0.7263
38,SSIM,3,9476,0.7254
